question,answer,morphology,syntax,semantics,pragmatics
adelante,castellano,0.0,0.0,0.0,1.0
adelante,hola,0.0,0.0,0.0,0.0
adelante,no tengo visa,0.0,0.0,0.0,1.0
adelante,bien y usted,0.0,0.0,0.0,1.0
adelante,no se,1.0,0.0,0.0,1.0
adelante,pues no quiero,0.0,0.0,0.0,1.0
adelante,gracias,0.0,0.0,0.0,0.0
adelante,si quieres,0.0,0.0,0.0,1.0
adelante,de nada,0.0,0.0,0.0,1.0
adelante,no,0.0,0.0,0.0,1.0
adelante,adelante caminante,0.0,0.0,0.0,1.0
adelante,gracias,0.0,0.0,0.0,0.0
adelante,el que,0.0,0.0,0.0,1.0
adelante,ok,0.0,0.0,0.0,0.0
adelante,barcelona,0.0,0.0,0.0,1.0
adelante,atrás,0.0,0.0,0.0,1.0
adelante,ok,0.0,0.0,0.0,0.0
adelante,hacia donde,1.0,0.0,0.0,0.0
adelante,hacia dónde,0.0,0.0,0.0,0.0
adelante,dejeme en paz,1.0,0.0,0.0,1.0
adelante,hacia atrás,0.0,0.0,0.0,1.0
adelante,atras,1.0,0.0,0.0,1.0
adelante,hola,0.0,0.0,0.0,0.0
adelante,lo contrario de detrás,0.0,0.0,1.0,0.0
adelante,hacia allá voy,0.0,0.0,0.0,1.0
adelante,atrás,0.0,0.0,0.0,1.0
adelante,que rollo,0.0,0.0,0.0,1.0
adelante,que,1.0,0.0,0.0,1.0
adelante,vale,0.0,0.0,0.0,0.0
adelante,cuidado,0.0,0.0,0.0,1.0
adelante,hola,0.0,0.0,0.0,0.0
adelante,hacia atrás,0.0,0.0,0.0,1.0
adelante,detrás,0.0,0.0,0.0,1.0
adelante,bien,0.0,0.0,0.0,0.0
adelante,atras no puedo,1.0,0.0,0.0,1.0
adelante,y detrás si quieres,0.0,0.0,0.0,1.0
adelante,adelante de quien,1.0,0.0,1.0,0.0
adelante,no tieno tempo,1.0,0.0,0.0,1.0
adelante,siga andando,0.0,0.0,0.0,1.0
adelante,me fuy a la compra,0.0,0.0,0.0,1.0
adelante,miercoles,0.0,0.0,0.0,1.0
adelante,a dónde,0.0,0.0,0.0,0.0
adelante,detrás del mostrador,0.0,0.0,0.0,1.0
adelante,adelante de quién,0.0,0.0,1.0,0.0
adelante,porqué no para atras,1.0,0.0,0.0,1.0
adelante,no encuentro el pasaporte,0.0,0.0,0.0,1.0
adelante,prefiero detras,0.0,0.0,0.0,1.0
adelante,atrás,0.0,0.0,0.0,1.0
adelante,no le entiendo,0.0,0.0,0.0,0.0
adelante,que bonito dia hace hoy,1.0,0.0,0.0,1.0
adelante,por esa dirección ,0.0,0.0,0.0,1.0
adelante,continúe,0.0,0.0,0.0,1.0
adelante,adiós,0.0,0.0,0.0,1.0
adelante,pase,0.0,0.0,0.0,1.0
adelante,no puedo pasar,0.0,0.0,0.0,1.0
adelante,no puedo ir mas hacia delante,1.0,0.0,0.0,1.0
adelante,ya avanzo,0.0,0.0,0.0,0.0
adelante,no tengo,0.0,0.0,0.0,1.0
adelante,muchas gracias,0.0,0.0,0.0,0.0
adelante,si un vaso de agua por favor,1.0,0.0,0.0,1.0
adelante,no tengo gana,0.0,0.0,0.0,1.0
adelante,después de usted,0.0,0.0,0.0,1.0
adelante,a donde,1.0,0.0,0.0,0.0
adelante,siguiente,0.0,0.0,0.0,0.0
adelante,atrás,0.0,0.0,0.0,1.0
adelante,soy yo,0.0,0.0,0.0,1.0
adelante,ya voy,0.0,0.0,0.0,0.0
adelante,mi nombre es john,0.0,0.0,0.0,1.0
adelante,que hay adelante,1.0,0.0,1.0,0.0
adelante,chao chico,0.0,0.0,0.0,1.0
adelante,de quién,0.0,0.0,1.0,0.0
adelante,por dónde ,0.0,0.0,0.0,0.0
adelante,anda allá,0.0,0.0,0.0,1.0
adelante,no hay nadie a quién adelantar,0.0,0.0,1.0,0.0
adelante,no prefiero detrás,0.0,0.0,0.0,1.0
adelante,a la derecha,0.0,0.0,0.0,0.0
adelante,estoy detrás,0.0,0.0,0.0,1.0
adelante,bueno,0.0,0.0,0.0,0.0
adelante,hoy es jueves,0.0,0.0,0.0,1.0
adelante,de quien,1.0,0.0,1.0,0.0
adelante,paella,0.0,0.0,0.0,1.0
adelante,no atras ,1.0,0.0,0.0,1.0
adelante,sí,0.0,0.0,0.0,0.0
adelante,voy,0.0,0.0,0.0,0.0
adelante,dónde,0.0,0.0,0.0,0.0
adelante,no quiero pasar,0.0,0.0,0.0,1.0
adelante,cuánto demorará esto,0.0,0.0,0.0,1.0
adelante,eiii,0.0,0.0,0.0,1.0
adelante,pase aquí ,0.0,0.0,0.0,1.0
adelante,detrás,0.0,0.0,0.0,1.0
adelante,sin documentos,0.0,0.0,0.0,1.0
adelante,frente,0.0,0.0,0.0,1.0
adelante,atrás,0.0,0.0,0.0,1.0
adelante,nací en otro lado pero vivo aquí,0.0,0.0,0.0,1.0
adelante,quien,1.0,0.0,0.0,1.0
adelante,adelante de quien,1.0,0.0,1.0,0.0
adelante,quédese donde está por favor,0.0,0.0,0.0,1.0
adelante,pero si ya soy el primero de la fila,0.0,0.0,0.0,1.0
adelante,porque tengo que hacerlo,1.0,0.0,0.0,1.0
adelante,en donde,1.0,0.0,0.0,1.0
adelante,hola qué tal,0.0,0.0,0.0,0.0
adelante,hacia donde,1.0,0.0,0.0,0.0
adelante,adelante de qué paso enfrente,0.0,0.0,0.0,1.0
adelante,enfrente,0.0,0.0,0.0,1.0
adelante,por qué delante,0.0,0.0,0.0,1.0
adelante,atras,1.0,0.0,0.0,1.0
adelante,como los de alicante,0.0,0.0,0.0,1.0
adelante,adelante si,1.0,0.0,0.0,1.0
adelante,adelante,0.0,0.0,0.0,1.0
adelante,okay,0.0,0.0,0.0,0.0
adelante,tienes que ir siempre hacia adelante,0.0,0.0,0.0,1.0
adelante,a donde,1.0,0.0,0.0,1.0
adelante,mio ya te ví,0.0,0.0,0.0,1.0
adelante,a quien adelanto,1.0,0.0,1.0,0.0
adelante,qué lado,0.0,0.0,0.0,1.0
adelante,no gracias,0.0,0.0,0.0,1.0
adelante,adelante de lo que,0.0,1.0,1.0,0.0
adelante,atras,1.0,0.0,0.0,1.0
adelante,me puedo sentar,0.0,0.0,0.0,1.0
adelante,por donde,1.0,0.0,0.0,1.0
adelante,dónde quieres que vaya,0.0,0.0,0.0,1.0
adelante,donde,1.0,0.0,0.0,1.0
adelante,ok,0.0,0.0,0.0,0.0
adelante,no contesto,0.0,0.0,0.0,1.0
adelante,atrás,0.0,0.0,0.0,1.0
adelante,hacia dónde,0.0,0.0,0.0,1.0
adelante,o hacia atrás,0.0,0.0,0.0,1.0
adelante,gracias,0.0,0.0,0.0,0.0
adelante,si,0.0,0.0,0.0,0.0
adelante,no,0.0,0.0,0.0,1.0
adelante,no veo nada,0.0,0.0,0.0,1.0
adelante,doy un paso entonces,0.0,0.0,0.0,0.0
adelante,no me toque,0.0,0.0,0.0,1.0
adelante,si,0.0,0.0,0.0,0.0
adelante,ya era hora,0.0,0.0,0.0,1.0
adelante,qué quiere,0.0,0.0,0.0,1.0
adelante,para donde,1.0,0.0,0.0,1.0
adelante,atras,1.0,0.0,0.0,1.0
adelante,que pasa,1.0,0.0,0.0,1.0
adelante,si digame,1.0,0.0,0.0,0.0
adelante,denada,1.0,0.0,0.0,1.0
adelante,son las 1000 de la mañana,0.0,0.0,0.0,1.0
adelante,enseguida,0.0,0.0,0.0,0.0
adelante,avanzo a estas personas,0.0,0.0,1.0,0.0
adelante,dónde,0.0,0.0,0.0,1.0
adelante,estas viendo un partido de futbol,1.0,0.0,0.0,1.0
adelante,ja fue,1.0,0.0,0.0,1.0
adelante,a donde,1.0,0.0,0.0,1.0
adelante,adelante de quê ,1.0,0.0,1.0,0.0
adelante,qué hay,0.0,0.0,0.0,1.0
adelante,atras,1.0,0.0,0.0,1.0
adelante,hacia donde,1.0,0.0,0.0,1.0
adelante,hola que tal,1.0,0.0,0.0,0.0
adelante,detrás,0.0,0.0,0.0,1.0
adelante,de qué,0.0,0.0,1.0,0.0
adelante,no lo haré,0.0,0.0,0.0,1.0
adelante,qué hay adelante mío,0.0,0.0,1.0,0.0
adelante,qué hay adelante,0.0,0.0,1.0,0.0
adelante,como,1.0,0.0,0.0,0.0
adelante,sin duda,0.0,0.0,0.0,1.0
adelante,no gracias,0.0,0.0,0.0,1.0
adelante,adiós,0.0,0.0,0.0,1.0
adelante,esta usted,1.0,0.0,1.0,0.0
adelante,a quién,0.0,0.0,1.0,0.0
adelante,hacia la izquierda,0.0,0.0,0.0,1.0
adelante,me encargo de verificar que los boletos sean correctos en la llegada de extranjeros,0.0,0.0,0.0,1.0
adelante,no gracias,0.0,0.0,0.0,1.0
adelante,para donde,1.0,0.0,0.0,0.0
adelante,muchas gracias,0.0,0.0,0.0,0.0
adelante,adelante,0.0,0.0,0.0,1.0
adelante,de que ,1.0,0.0,1.0,0.0
adelante,procedo,0.0,0.0,0.0,1.0
adelante, hacer lo que,1.0,1.0,0.0,0.0
adelante,hum,0.0,0.0,0.0,1.0
adelante,que,1.0,0.0,0.0,1.0
adelante,mucho gusto,0.0,0.0,0.0,0.0
adelante,adiós,0.0,0.0,0.0,1.0
adelante,ok,0.0,0.0,0.0,0.0
adelante,a la derecha,0.0,0.0,0.0,1.0
adelante,bienvenido,0.0,0.0,0.0,1.0
adelante,para donde,1.0,0.0,0.0,1.0
adelante,ahora mismo le adelanto,0.0,0.0,1.0,1.0
adelante,tendre cuidado con la cabeza,1.0,0.0,0.0,1.0
adelante,bien,0.0,0.0,0.0,0.0
adelante,va que va,0.0,0.0,0.0,1.0
adelante,nunca,0.0,0.0,0.0,1.0
adelante,adelante de dónde,0.0,0.0,1.0,0.0
adelante,no soy de los últimos del grupo,0.0,0.0,0.0,1.0
adelante,atrás,0.0,0.0,0.0,1.0
adelante,paso,0.0,0.0,0.0,1.0
adelante,un pasito palante maría un pasito paatrás,1.0,0.0,0.0,1.0
adelante,donde,1.0,0.0,0.0,1.0
adelante,que tal,1.0,0.0,0.0,0.0
adelante,no,0.0,0.0,0.0,1.0
adelante,como estas,1.0,0.0,0.0,1.0
adelante,no puedo adelantar a nadie no voy en coche,0.0,0.0,1.0,0.0
adelante,a donde voy,1.0,0.0,0.0,1.0
adelante,buenas,0.0,0.0,0.0,1.0
adelante,de dónde,0.0,0.0,1.0,0.0
adelante,no me ordenas quien és,0.0,0.0,0.0,1.0
adelante,no gracias,0.0,0.0,0.0,1.0
adelante,como,1.0,0.0,0.0,0.0
adelante,hacia dónde,0.0,0.0,1.0,0.0
adelante,no,0.0,0.0,0.0,1.0
adelante,sigo adelante,0.0,0.0,0.0,1.0
adelante,pues vale,0.0,0.0,0.0,1.0
adelante,qué hay adelante,0.0,0.0,1.0,0.0
adelante,no puedo esta a mi frente,1.0,0.0,1.0,0.0
adelante,de dónde,0.0,0.0,1.0,0.0
adelante,a dónde,0.0,0.0,0.0,1.0
adelante,adelante dónde,0.0,0.0,0.0,1.0
adelante,las siete y cuarto,0.0,0.0,0.0,1.0
adelante,atras ,1.0,0.0,0.0,1.0
adelante,hacia donde ,1.0,0.0,0.0,1.0
adelante,palante y patras,1.0,0.0,0.0,1.0
adelante,es tu,1.0,0.0,0.0,1.0
adelante,hola,0.0,0.0,0.0,0.0
adelante,atrás,0.0,0.0,0.0,1.0
adelante,no atras,1.0,0.0,0.0,1.0
adelante,para onde,1.0,0.0,0.0,1.0
adelante,paso hacia adelante o atrás,0.0,0.0,0.0,1.0
adelante,de qué,0.0,0.0,1.0,0.0
adelante,policía del aeropuerto,0.0,0.0,0.0,1.0
adelante,atraz,1.0,0.0,0.0,1.0
adelante,adiós,0.0,0.0,0.0,1.0
adelante,a dónde,0.0,0.0,0.0,1.0
adelante,hacia allá voy,0.0,0.0,0.0,0.0
adelante,adónde,1.0,0.0,0.0,1.0
adelante,adelante encontrarás la salida ,0.0,0.0,0.0,1.0
adelante,que tanto adelante,1.0,0.0,0.0,0.0
adelante,qué,0.0,0.0,0.0,1.0
adelante,no sé lo que hay,0.0,0.0,0.0,1.0
adelante,por qué,0.0,0.0,0.0,1.0
adelante,atrás,0.0,0.0,0.0,1.0
adelante,dónde,0.0,0.0,0.0,1.0
adelante,después de ti,0.0,0.0,0.0,1.0
adelante,hacia donde,0.0,0.0,0.0,1.0
adelante,estoy bien gracías,0.0,0.0,0.0,1.0
adelante,voy hacia usted,0.0,0.0,0.0,1.0
adelante,adelante de donde,1.0,0.0,0.0,1.0
adelante,okay,0.0,0.0,0.0,0.0
adelante,adelante ,0.0,0.0,0.0,1.0
adelante,ok,0.0,0.0,0.0,0.0
adelante,es oficial la imigracion,1.0,0.0,0.0,1.0
adelante,militar de oficio,0.0,0.0,0.0,1.0
adelante,dónde está ,0.0,0.0,0.0,1.0
adelante,pasan primeros ,0.0,0.0,0.0,1.0
adelante,que pasa chico,1.0,0.0,0.0,1.0
adelante,está bien,0.0,0.0,0.0,0.0
adelante,adelante qué,0.0,0.0,1.0,0.0
adelante,adelante,0.0,0.0,0.0,1.0
adelante,siga,0.0,0.0,0.0,1.0
adelante,no me gusta,0.0,0.0,0.0,1.0
adelante,hola qué pasa,0.0,0.0,0.0,0.0
adelante,gracias,0.0,0.0,0.0,0.0
adelante,no voy a cartagena,0.0,0.0,0.0,1.0
adelante,gracias,0.0,0.0,0.0,0.0
adelante, adelante de que,1.0,0.0,1.0,0.0
adelante,voy a adelantar,0.0,0.0,1.0,0.0
adelante,puedo seguir adelante,0.0,0.0,0.0,1.0
adelante,no hay nadie a quien adelantar,1.0,0.0,1.0,0.0
adelante, dónde,0.0,0.0,0.0,1.0
adelante,al frente,0.0,0.0,0.0,1.0
adelante,delante de qué,0.0,0.0,1.0,0.0
adelante,hasta donde,1.0,0.0,0.0,1.0
adelante,por donde voy ,1.0,0.0,0.0,1.0
adelante,hace calor,0.0,0.0,0.0,1.0
adelante,hoy es un hermoso dia,1.0,0.0,0.0,1.0
adelante,detras,1.0,0.0,0.0,1.0
adelante,hi,0.0,0.0,0.0,1.0
adelante,ignorar al oficial,0.0,0.0,0.0,1.0
adelante,allá voy,0.0,0.0,0.0,0.0
adelante,profesor,0.0,0.0,0.0,1.0
adelante,esta bien,0.0,0.0,0.0,0.0
adelante,no gracias,0.0,0.0,0.0,1.0
adelante,ok,0.0,0.0,0.0,0.0
adelante,de quien,1.0,0.0,1.0,0.0
adelante,a quién debo adelantar,0.0,0.0,1.0,0.0
adelante,a quien adelanto,0.0,0.0,1.0,0.0
adelante,podría seguir derecho sin detenerme porque el oficial no indico hasta donde,1.0,0.0,0.0,1.0
adelante,prefiero andar lento,0.0,0.0,0.0,1.0
adelante,contrario de atras,1.0,0.0,0.0,1.0
adelante,hay barreras por delante,0.0,0.0,0.0,1.0
adelante,guardacostas,0.0,0.0,0.0,1.0
adelante,donde està la tienda de fruta,1.0,0.0,0.0,1.0
adelante,qué hay ahí,0.0,0.0,0.0,1.0
adelante,hy ,0.0,0.0,0.0,1.0
adelante,a quién quieres que adelante,0.0,0.0,1.0,0.0
adelante,sí justo enfrente ,0.0,0.0,0.0,1.0
adelante,voy,0.0,0.0,0.0,0.0
adelante,a quién adelanto,0.0,0.0,1.0,0.0
adelante,mínimo  que bueno que respetan,1.0,0.0,0.0,1.0
adelante,atras,1.0,0.0,0.0,1.0
adelante,no me siento atrás,0.0,0.0,0.0,1.0
adelante,para donde,1.0,0.0,0.0,1.0
adelante,que pasa adelante,1.0,0.0,1.0,0.0
adelante,por fin,0.0,0.0,0.0,1.0
adelante,gracias,0.0,0.0,0.0,0.0
adelante,hacia dónde,0.0,0.0,0.0,1.0
